no, yes, yes, brown, yes, weak, no, 1
no, yes, yes, yellow, yes, weak, no, 1
yes, yes, no, brown, yes, no, no, 1
yes, yes, yes, brown, no, no, march_of_troops, 1
no, no, no, yellow, no, hard, trenches, 0
no, no, yes, yellow, no, no, trenches, 0
no, yes, yes, brown, no, no, trenches, 1
no, yes, yes, green, yes, hard, trenches, 1 
no, yes, yes, yellow, no, no, no, 1
yes, no, yes, brown, yes, weak, no, 1 
no, no, no, yellow, no, no, trenches, 0 
yes, yes, yes, brown, yes, no, no, 1
yes, yes, no, brown, yes, no, march_of_troops, 1
yes, no, no, brown, yes, hard, march_of_troops, 1
yes, yes, no, green, yes, hard, trenches, 1
no, yes, no, yellow, yes, no, march_of_troops, 1
yes, yes, no, green, no, no, trenches, 1
no, no, yes, yellow, yes, weak, march_of_troops, 0
no, no, no, yellow, no, hard, march_of_troops, 0
yes, no, no, brown, no, no, no, 0
no, yes, no, brown, yes, hard, no, 1
yes, no, no, yellow, no, hard, march_of_troops, 0
yes, yes, yes, green, no, weak, trenches, 1
yes, no, yes, brown, yes, weak, trenches, 1
no, no, no, brown, no, hard, trenches, 0
yes, yes, no, brown, no, weak, march_of_troops, 1
no, yes, no, yellow, yes, weak, trenches, 1
no, no, no, brown, yes, weak, no, 0
no, yes, yes, yellow, no, hard, march_of_troops, 1
yes, no, no, yellow, yes, no, trenches, 0
no, yes, yes, green, no, hard, no, 1
no, no, no, brown, no, hard, trenches, 0
yes, yes, no, yellow, yes, hard, no, 1
yes, no, no, green, no, no, trenches, 0
no, no, yes, green, yes, hard, trenches, 1
yes, yes, yes, yellow, no, no, march_of_troops, 1
no, no, yes, green, no, weak, march_of_troops, 0
no, yes, no, brown, yes, hard, march_of_troops, 1
no, yes, no, brown, no, no, trenches, 1
no, yes, no, green, yes, no, trenches, 1
yes, no, yes, green, no, hard, march_of_troops, 1
no, yes, no, green, yes, hard, trenches, 1
no, no, yes, green, yes, no, march_of_troops, 0
yes, yes, yes, yellow, yes, no, trenches, 1
no, no, no, brown, yes, weak, march_of_troops, 0
yes, yes, yes, yellow, no, no, march_of_troops, 1
yes, yes, no, yellow, no, weak, march_of_troops, 1
no, no, yes, yellow, no, weak, no, 0
yes, no, yes, green, yes, weak, trenches, 1
yes, yes, yes, green, no, weak, march_of_troops, 1
yes, yes, no, brown, yes, hard, trenches, 1
no, no, no, brown, yes, hard, no, 0
no, no, yes, yellow, yes, weak, no, 0 
yes, no, no, yellow, no, no, march_of_troops, 0
yes, no, no, brown, yes, no, trenches, 1
yes, no, yes, brown, yes, hard, no, 1
yes, yes, no, brown, no, hard, trenches, 1
no, no, no, brown, no, no, march_of_troops, 0
no, no, yes, green, yes, weak, march_of_troops, 0 
no, yes, no, brown, yes, hard, march_of_troops, 1
no, no, no, brown, yes, no, march_of_troops, 0
no, yes, no, brown, no, weak, no, 1
no, no, yes, green, no, hard, march_of_troops, 1
no, yes, yes, yellow, yes, weak, no, 1
yes, yes, yes, green, no, no, trenches, 1
no, yes, no, brown, no, hard, march_of_troops, 
yes, yes, no, green, no, no, no, 1
no, no, no, brown, no, no, trenches, 0
yes, no, yes, yellow, yes, hard, trenches, 1
no, no, yes, yellow, no, weak, no, 0
yes, yes, no, yellow, yes, no, march_of_troops, 1
yes, yes, no, yellow, no, hard, no, 1
yes, yes, yes, brown, no, hard, march_of_troops, 1
no, yes, no, brown, no, no, no, 1
no, yes, yes, yellow, yes, no, trenches, 1
no, yes, no, green, yes, hard, no, 1
yes, yes, yes, brown, no, no, no, 1
no, no, yes, brown, yes, hard, no, 1
yes, yes, no, green, yes, no, march_of_troops, 1
yes, no, no, green, no, weak, march_of_troops, 0
no, no, no, brown, no, hard, no, 0
no, yes, no, green, yes, hard, trenches, 1
no, no, yes, yellow, yes, weak, no, 0
yes, no, yes, green, yes, no, trenches, 1
yes, yes, no, green, yes, no, no, 1
yes, yes, yes, green, yes, weak, march_of_troops, 1
no, no, yes, brown, no, hard, trenches, 1
no, no, yes, yellow, yes, hard, trenches, 1
yes, yes, no, green, yes, weak, no, 2
no, no, no, green, yes, no, no, 0
yes, no, yes, brown, yes, weak, march_of_troops, 1
no, yes, no, brown, yes, weak, march_of_troops, 1
yes, no, yes, brown, no, weak, trenches, 1
yes, yes, yes, brown, yes, hard, march_of_troops, 1
no, no, no, brown, no, no, no, 0
no, no, yes, green, no, no, trenches, 0
yes, no, no, brown, no, no, march_of_troops, 0
yes, yes, no, yellow, no, hard, march_of_troops, 1
yes, yes, yes, brown, yes, weak, trenches, 1
yes, yes, yes, yellow, yes, weak, trenches, 1
yes, yes, yes, yellow, no, no, march_of_troops, 1 
no, yes, yes, brown, yes, weak, march_of_troops, 1
yes, yes, no, green, no, weak, no, 1
yes, yes, yes, yellow, yes, weak, no, 1 
no, no, yes, brown, yes, hard, march_of_troops, 0
yes, no, yes, green, no, weak, no, 0
yes, no, yes, yellow, yes, no, march_of_troops, 0
yes, no, no, green, no, hard, trenches, 1
yes, no, no, brown, yes, weak, no, 0
yes, no, no, yellow, yes, hard, no, 0
no, no, no, brown, yes, hard, march_of_troops, 0
yes, yes, yes, yellow, no, no, trenches, 1
yes, yes, no, yellow, no, no, march_of_troops, 1
yes, no, no, green, no, hard, march_of_troops, 1
yes, no, no, brown, yes, weak, trenches, 0
no, yes, no, brown, no, weak, march_of_troops, 1
no, yes, no, yellow, no, weak, march_of_troops, 1
no, yes, no, green, no, weak, march_of_troops, 1
no, no, yes, yellow, yes, weak, no, 0
no, yes, no, yellow, yes, weak, trenches, 1
no, no, no, yellow, yes, weak, no, 0
yes, no, no, yellow, yes, weak, no, 0
yes, yes, yes, green, yes, no, march_of_troops, 1
yes, no, yes, brown, no, no, trenches, 1
yes, no, yes, brown, no, hard, no, 0
no, no, no, green, no, weak, march_of_troops, 0
no, yes, yes, yellow, yes, no, trenches, 1
yes, yes, no, brown, yes, no, no, 1
yes, yes, yes, green, no, weak, march_of_troops, 1
yes, yes, yes, brown, yes, hard, no, 1
no, no, yes, green, yes, hard, no, 0
yes, no, yes, green, no, weak, trenches, 0
yes, no, yes, brown, no, hard, trenches, 1
yes, no, no, green, yes, weak, no, 0
no, yes, no, yellow, no, no, march_of_troops, 1
no, no, yes, brown, no, weak, trenches, 0
no, yes, no, yellow, no, weak, trenches, 1
no, no, yes, green, no, weak, no, 0
no, no, no, brown, no, no, trenches, 0
yes, no, no, brown, no, weak, trenches, 0
no, yes, no, brown, no, weak, march_of_troops, 1
yes, no, yes, brown, yes, weak, march_of_troops, 0 
no, yes, no, yellow, no, weak, trenches, 1
no, no, no, yellow, no, hard, march_of_troops, 0
no, yes, no, brown, yes, no, march_of_troops, 1
no, yes, yes, brown, yes, no, trenches, 1
no, yes, no, brown, yes, weak, trenches, 1
yes, no, no, brown, yes, hard, trenches, 1
no, no, no, brown, no, hard, march_of_troops, 0
no, no, no, green, yes, no, no, 0
